Country Name,Country Code,Series,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 3,LO.PISA.MAT.3,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 4,LO.PISA.MAT.4,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 5,LO.PISA.MAT.5,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: 15-year-olds by mathematics proficiency level (%). Level 6,LO.PISA.MAT.6,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: Distribution of Mathematics Scores: 10th Percentile Score,LO.PISA.MAT.P10,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: Distribution of Mathematics Scores: 25th Percentile Score,LO.PISA.MAT.P25,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: Distribution of Mathematics Scores: 50th Percentile Score,LO.PISA.MAT.P50,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: Distribution of Mathematics Scores: 5th Percentile Score,LO.PISA.MAT.P05,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,PISA: Distribution of Mathematics Scores: 75th Percentile Score,LO.PISA.MAT.P75,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Proportion of students at the end of lower secondary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.LOWERSEC,..,..,..,..,..,..,..,..,..,..,..
Somalia,SOM,"Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics, both sexes (%)",UIS.MATH.PRIMARY,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Out-of-school adolescents and youth of secondary school age, both sexes (number)",UIS.OFST.2T3.CP,..,..,..,..,..,..,423545,..,855596,879089,..
South Africa,ZAF,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,311658,..,567591,845478,..
South Africa,ZAF,"Out-of-school rate for adolescents and youth of lower and upper secondary school age, both sexes (%)",UIS.ROFST.2T3.CP,..,..,..,..,..,..,8.7806,..,17.7308,18.11006,..
South Africa,ZAF,(De Facto) Percent of teachers proficient in the subject of mathematics,SE.PRM.CONT.3,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,..,..,..,..,80.37193,80.38388,81.51493,81.28923,81.59718,..
South Africa,ZAF,"Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%)",SE.TER.GRAD.SC.ZS,..,..,..,..,..,7.47969,7.75419,7.13905,7.2819,7.25174,..
South Africa,ZAF,PISA: 15-year-olds by mathematics proficiency level (%). Below Level 1,LO.PISA.MAT.0,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,PISA: 15-year-olds by mathematics proficiency level (%). Level 1,LO.PISA.MAT.1,..,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,PISA: 15-year-olds by mathematics proficiency level (%). Level 2,LO.PISA.MAT.2,..,..,..,..,..,..,..,..,..,..,..
